Time [Sec],Li7,B11,Na23,Mg25,Al27,Si29,P31,K39,Ca42,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,Ga71,Rb85,Sr88,Y89,Zr90,Sn118,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,W182,Au197,Pb208,Th232,U238
0.6642,500.01,500.01,83932.42,0,700.02,69560.38,19312.4,55101.39,4700.74,0,0,100,300,10003.38,100,100,400.01,100,0,0,300,0,0,0,700.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2233,300,400.01,82826.34,0,400.01,75086.85,20113.45,57510.43,5300.94,200,0,0,200,12405.2,400.01,0,500.01,300,0,0,100,0,0,0,800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7823,300,100,88357.53,0,1000.03,76292.88,21815.82,53796.64,4500.68,300,0,100,400.01,13906.54,200,100,200,0,0,0,500.01,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3414,200,500.01,83932.42,0,400.01,79207.89,20313.72,52993.78,6101.25,200,0,0,300,13506.17,400.01,0,400.01,0,0,0,200,0,0,0,800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9004,200,600.01,81016.57,0,1200.05,82123.45,20313.72,56205.48,4400.65,0,0,0,300,12905.63,800.02,0,300,0,0,0,500.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4595,100,600.01,78302.32,0,800.02,80715.87,21915.97,55502.86,5701.09,200,100,0,400.01,12705.46,400.01,0,0,0,0,0,300,0,0,0,600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
4.0185,200,100,80614.43,0,400.01,84737.88,18711.64,54398.82,5801.13,100,100,100,300,14807.41,600.01,0,500.01,100,200,0,200,0,0,0,500.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5776,200,200,80714.97,0,800.02,82827.29,21715.68,54599.54,5300.94,100,0,100,500.01,12705.46,100,0,600.01,100,0,0,300,0,0,0,800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1366,300,200,80815.5,0,400.01,80313.72,20313.72,59618.66,5200.91,400.01,0,0,500.01,12004.87,600.01,0,200,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6957,300,300,85340.27,0,500.01,82927.84,21114.82,55803.99,4300.62,100,100,400.01,700.02,11504.47,600.01,0,300,0,0,0,300,0,0,0,500.01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
6.2547,300,600.01,83228.54,0,600.01,80916.94,21014.68,61124.73,4700.74,400.01,0,0,700.02,10003.38,400.01,0,300,0,0,200,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8138,500.01,200,82223.06,0,1000.03,83229.5,19813.05,59618.66,5000.84,200,100,0,200,11804.71,500.01,0,400.01,0,100,0,0,0,100,0,400.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3728,200,600.01,77397.68,0,900.03,82525.64,20714.27,56707.37,5400.98,500.01,200,100,700.02,9903.32,600.01,0,200,100,0,0,100,0,0,0,500.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
7.9319,200,400.01,76191.57,100,600.01,81620.72,20313.72,59518.27,5701.09,100,200,400.01,900.03,12405.2,200,0,400.01,0,0,0,200,0,0,0,500.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4909,200,300,79106.49,0,900.03,84134.52,18211.03,56506.61,4300.62,0,0,0,400.01,10803.95,400.01,0,300,0,0,100,300,0,0,0,400.01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0499,500.01,600.01,75588.56,0,700.02,85542.41,19412.53,61425.96,5100.87,0,0,100,500.01,11904.79,500.01,0,200,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
