D:\data\MAPPING\JULY20A-GARTNET.b\MAPPING.d
Intensity Vs Time,CPS
Acquired      : 2016/7/20 14:58:22 using Batch JULY20A-GARTNET.b
Time [Sec],Li7,B11,Na23,Mg25,Al27,Si29,P31,K39,Ca42,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,Ga71,Rb85,Sr88,Y89,Zr90,Sn118,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,W182,Au197,Pb208,Th232,U238
0.6642,500.01,500.01,83932.42,0.00,700.02,69560.38,19312.40,55101.39,4700.74,0.00,0.00,100.00,300.00,10003.38,100.00,100.00,400.01,100.00,0.00,0.00,300.00,0.00,0.00,0.00,700.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2233,300.00,400.01,82826.34,0.00,400.01,75086.85,20113.45,57510.43,5300.94,200.00,0.00,0.00,200.00,12405.20,400.01,0.00,500.01,300.00,0.00,0.00,100.00,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7823,300.00,100.00,88357.53,0.00,1000.03,76292.88,21815.82,53796.64,4500.68,300.00,0.00,100.00,400.01,13906.54,200.00,100.00,200.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.3414,200.00,500.01,83932.42,0.00,400.01,79207.89,20313.72,52993.78,6101.25,200.00,0.00,0.00,300.00,13506.17,400.01,0.00,400.01,0.00,0.00,0.00,200.00,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.9004,200.00,600.01,81016.57,0.00,1200.05,82123.45,20313.72,56205.48,4400.65,0.00,0.00,0.00,300.00,12905.63,800.02,0.00,300.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.4595,100.00,600.01,78302.32,0.00,800.02,80715.87,21915.97,55502.86,5701.09,200.00,100.00,0.00,400.01,12705.46,400.01,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.0185,200.00,100.00,80614.43,0.00,400.01,84737.88,18711.64,54398.82,5801.13,100.00,100.00,100.00,300.00,14807.41,600.01,0.00,500.01,100.00,200.00,0.00,200.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5776,200.00,200.00,80714.97,0.00,800.02,82827.29,21715.68,54599.54,5300.94,100.00,0.00,100.00,500.01,12705.46,100.00,0.00,600.01,100.00,0.00,0.00,300.00,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.1366,300.00,200.00,80815.50,0.00,400.01,80313.72,20313.72,59618.66,5200.91,400.01,0.00,0.00,500.01,12004.87,600.01,0.00,200.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.6957,300.00,300.00,85340.27,0.00,500.01,82927.84,21114.82,55803.99,4300.62,100.00,100.00,400.01,700.02,11504.47,600.01,0.00,300.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
